id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"357",129.09131,35.14700,"0",0.00000,,0.00000,1.00000,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"1","333"
"358",129.09131,35.14480,"0",0.00000,,0.00000,1.00000,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"1","333"
"386",129.09400,35.16022,"1",0.00000,4.00000,0.00000,1.00000,"0",919.6599999999999682,1.0000000000000000,"0","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",129.095200,35.161050,0.480300,0.361580,"0","313"
"387",129.09400,35.15802,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"388",129.09400,35.15581,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"389",129.09400,35.15361,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"390",129.09400,35.15141,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"391",129.09400,35.14920,"3",2.00000,140.00000,0.00000,4.00000,"1",1089.9800000000000182,3.0000000000000000,"1","3","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.375900,140.595390,3.343770,2.517250,"0","280"
"392",129.09400,35.14700,"2",0.00000,25.00000,7.00000,60.00000,"2",3175.9800000000013824,37.0000000000000000,"1","9","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",5163.794600,1405.856210,32.990660,23.991730,"49","214"
"393",129.09400,35.14480,"2",0.00000,4.00000,44.00000,8.00000,"0",1149.2899999999999636,4.0000000000000000,"0","2","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",774.568300,210.874460,4.883910,3.676710,"6","208"
